"","project","module","LoC","BugFixes","BugDensity"
"1","https://github.com/angular/angular.js.git","(?-mix:^src\/ng\/directive\/input\.js)",415,6,0.0144578313253012
"2","https://github.com/angular/angular.js.git","(?-mix:^src\/auto\/injector\.js)",201,3,0.0149253731343284
"3","https://github.com/angular/angular.js.git","(?-mix:^src\/ngSanitize\/sanitize\.js)",184,2,0.0108695652173913
"4","https://github.com/angular/angular.js.git","(?-mix:^src\/ng\/[^\/]*)",873,13,0.0148911798396334
"5","https://github.com/angular/angular.js.git","(?-mix:^i18n\/e2e\/.*)",142,0,0
"6","https://github.com/rails/rails.git","(?-mix:^actionmailer\/.*)",618,3,0.00485436893203883
"7","https://github.com/rails/rails.git","(?-mix:^railties\/lib\/rails\/.*)",394,8,0.0203045685279188
"8","https://github.com/rails/rails.git","(?-mix:^activesupport\/lib\/active_support\/core_ext\/time\/.*)",295,2,0.00677966101694915
"9","https://github.com/rails/rails.git","(?-mix:^actionpack\/lib\/action_view\/.*)",882,9,0.0102040816326531
"10","https://github.com/rails/rails.git","(?-mix:^activesupport\/lib\/active_support\/core_ext\/hash\/.*)",392,3,0.0076530612244898
"11","https://github.com/rails/rails.git","(?-mix:^activesupport\/lib\/active_support\/core_ext\/date\/.*)",233,1,0.00429184549356223
"12","https://github.com/rails/rails.git","(?-mix:^actionpack\/lib\/action_controller\/session\/.*)",332,9,0.0271084337349398
"13","https://github.com/rails/rails.git","(?-mix:^railties\/lib\/rails\/plugin\/.*)",192,1,0.00520833333333333
"14","https://github.com/rails/rails.git","(?-mix:^railties\/guides\/.*)",240,1,0.00416666666666667
"15","https://github.com/rails/rails.git","(?-mix:^activesupport\/lib\/active_support\/core_ext\/class\/.*)",204,2,0.00980392156862745
"16","https://github.com/rails/rails.git","(?-mix:^actionpack\/lib\/action_controller\/caching\/.*)",287,6,0.0209059233449477
"17","https://github.com/rails/rails.git","(?-mix:^railties\/builtin\/rails_info\/.*)",111,2,0.018018018018018
"18","https://github.com/angular/angular.js.git","(?-mix:^i18n\/closure\/.*)",5550,0,0
"19","https://github.com/angular/angular.js.git","(?-mix:^src\/bootstrap\/google-prettify\/prettify\.js)",918,0,0
"20","https://github.com/angular/angular.js.git","(?-mix:^src\/ng\/parse\.js)",729,3,0.00411522633744856
"21","https://github.com/angular/angular.js.git","(?-mix:^src\/ng\/compile\.js)",660,19,0.0287878787878788
"22","https://github.com/angular/angular.js.git","(?-mix:^src\/ngMock\/.*)",643,3,0.0046656298600311
"23","https://github.com/angular/angular.js.git","(?-mix:^src\/jqLite\.js)",531,9,0.0169491525423729
"24","https://github.com/angular/angular.js.git","(?-mix:^src\/[^\/]*)",882,16,0.018140589569161
"25","https://github.com/angular/angular.js.git","(?-mix:^src\/ng\/directive\/.*)",528,13,0.0246212121212121
"26","https://github.com/angular/angular.js.git","(?-mix:^src\/ng\/location\.js)",289,5,0.0173010380622837
"27","https://github.com/angular/angular.js.git","(?-mix:^src\/ngScenario\/.*)",1424,7,0.00491573033707865
"28","https://github.com/angular/angular.js.git","(?-mix:^src\/ng\/rootScope\.js)",260,4,0.0153846153846154
"29","https://github.com/angular/angular.js.git","(?-mix:^src\/bootstrap\/.*)",366,2,0.00546448087431694
"30","https://github.com/angular/angular.js.git","(?-mix:^src\/ng\/http.*)",275,3,0.0109090909090909
"31","https://github.com/angular/angular.js.git","(?-mix:^src\/ng\/filter\/.*)",347,10,0.0288184438040346
"32","https://github.com/angular/angular.js.git","(?-mix:^src\/ngResource\/.*)",167,8,0.0479041916167665
"33","https://github.com/angular/angular.js.git","(?-mix:^i18n\/src\/closureSlurper\.js)",97,0,0
"34","https://github.com/angular/angular.js.git","(?-mix:^src\/ng\/directive\/ng.*)",393,18,0.0458015267175573
"35","https://github.com/angular/angular.js.git","(?-mix:^src\/ngCookies\/cookies\.js)",73,0,0
"36","https://github.com/angular/angular.js.git","(?-mix:^i18n\/spec\/.*)",102,0,0
"37","https://github.com/angular/angular.js.git","(?-mix:^i18n\/src\/parser\.js)",45,0,0
"38","https://github.com/angular/angular.js.git","(?-mix:^i18n\/src\/converter\.js)",40,0,0
